#/////////////////////////////////////,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----START OF METADATA -----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TITLE: Brief title for entire data set,"Species richness of stoneflies (Insecta: Plecoptera), with an emphasis on the Appalachian region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATE: date of creation of data set,15-Sep-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# AUTHOR: author/owner of data,Phillip Hogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# AUTHOR EMAIL:,pnhogan2@illinois.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# AUTHOR ADDRESS:,https://orcid.org/0000-0002-6546-272X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# AUTHOR WEBSITE: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# OWNERSHIP: Information on who owns/controls the data ,Phillip Hogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLLABORATORS: One or more lines identifying others who collected/own data,Scott Grubbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FUNDING SOURCES: Grant numbers or funding sources for acknowlegment,Western Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# REPOSITORY: One or more lines for GitHub, Dryad, or permanent web repositories where data set can be accessed",https://datadryad.org/stash/dataset/doi:10.5061/dryad.hdr7sqvmg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CITATIONS: One or more lines for publications that cite or use these data,"Hogan, Phillip; Grubbs, Scott (2022). Data from: Distributional trends and species richness of Maryland, USA stoneflies (Insecta: Plecoptera), with an emphasis on the Appalachian region [Dataset]. Dryad. https://doi.org/10.5061/dryad.hdr7sqvmg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SAMPLING LOCATIONS: One or more lines about where data were collected; GPS for individual sites should be data columns,"Appalachian Region, Maryland (USA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SAMPLING TIMES: One more lines on when data were collected,1990's and 2020-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# VARIABLE DESCRIPTION: One line for each column in the data set stating what it is and what the units of measurement are,Type: What kind of collection this individual was,kingdom,phylum,class,order,family,genus,specificEpithet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# MISSING DATA: One or more lines for each variable describing the source of NA values throughout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATA TRACK CHANGES LOG (use this section to record any changes to the data set after it is created),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DATE:              #CHANGES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ----- END OF METADATA -----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/////////////////////////////////////,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ----- START OF DATA -----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Type,ownerInstitutionCode,catalogNumber,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,vernacularName,taxonomicStatus,taxonRank,typeStatus,identifiedBy,dateIdentified,eventDate,month,day,year,preparation,recordedBy,fieldNumber,habitat,basisOfRecord,adultMale,adultFemale,immatureNymph,1uvium,individualCount,sex,lifeStage,country,countryCode,stateProvince,county,waterBody,locality,coordinateUncertaintyInMeters,geodeticDatum,georeferencedBy,georeferenceSources,datasetName,accessRights,notes,elevation_m,decimalLongitude,decimalLatitude
1,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,aurora,"Ricker, 1952",Aurora Snowfly,accepted,species,not type,P.N. Hogan,2020,3/7/2020,3,7,2020,vial,P.N. Hogan,PNH-019-20,stream,Preservedspecimen,1,1,0,0,2,"male, female",adult,USA,US,Maryland,Charles,tributary to Mattawoman Creek,"MD-225 Hawthorne Rd., just before Arlough Private Lane, Myrtle Grove WMA",10,WGS 84,P.N. Hogan,Google Earth,Maryland Plecoptera Project,No Restrictions,,13,-77.09832,38.56471
2,Literature,"Literature (Duffield and Nelson, 1990)",,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,aurora,"Ricker, 1952",Aurora Snowfly,accepted,species,not type,,NA,NA,NA,NA,NA,,,,,,0,0,0,0,31,,adult,USA,US,Maryland,Frederick,Big Hunting Creek,Catoctin Mountain Park,10000,WGS84,P.N. Hogan,Acme.mapper 2.2,Maryland Plecoptera Project,No restrictions,,454,-77.45,39.61666667
3,Literature,"Literature (Duffield and Nelson, 1993)",,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,aurora,"Ricker, 1952",Aurora Snowfly,accepted,species,not type,,NA,NA,NA,NA,NA,,R.M. Duffield,,,,0,0,0,0,1,female,adult,USA,US,Maryland,Frederick,Big Hunting Creek,Catoctin Mountain Park,10000,WGS84,P.N. Hogan,Acme.mapper 2.2,Maryland Plecoptera Project,No restrictions,,454,-77.45,39.61666667
4,Collection,INHS,Insect Collection 654545,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1943",Peculiar Snowfly,accepted,species,not type,R.E. DeWalt,2013,3/12/2013,3,12,2013,Vial,R.E. DeWalt,,,,0,1,0,0,1,,,USA,US,Maryland,Allegany,Flintstone Creek,Flintstone at I-68,10,,,,Maryland Plecoptera Project,No restrictions,,247,-78.56641,39.70501
5,Collection,RFSC,Plecoptera 16976,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,,NA,2/14/1996,2,14,1996,Vial,R.F. Surdick,,stream,PreservedSpecimen,0,0,0,0,0,,,USA,US,Maryland,Allegany,,Flintstone,100,WGS84,P.N. Hogan,mapper.acme.com,Maryland Plecoptera Project,No restrictions,"Letter to Dr. Scott Grubbs, year uncertain",247,-78.56716,39.70288
6,Collection,RFSC,Plecoptera 16977,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,,NA,2/14/1996,2,14,1996,Vial,R.F. Surdick,,stream,PreservedSpecimen,0,0,0,0,0,,,USA,US,Maryland,Allegany,tributaries of Town Creek,"Wagner Road, Northeast of Oldtown",10,WGS84,P.N. Hogan,mapper.acme.com,Maryland Plecoptera Project,No restrictions,"Letter to Dr. Scott Grubbs, year uncertain",229,-78.58585,39.56934
7,Collection,RFSC,Plecoptera 16978,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,,NA,2/14/1996,2,14,1996,Vial,R.F. Surdick,,stream,PreservedSpecimen,0,0,0,0,0,,,USA,US,Maryland,Allegany,Town Creek,North of Pumpkin Center,100,WGS84,P.N. Hogan,mapper.acme.com,Maryland Plecoptera Project,No restrictions,"Letter to Dr. Scott Grubbs, year uncertain",208,-78.561107,39.63853
8,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,P.N. Hogan,2020,3/10/2020,3,10,2020,vial,P.N. Hogan,PNH-048-20,stream,Preservedspecimen,1,0,0,0,1,male,adult,USA,US,Maryland,Allegany,Black Sulphur Creek,"Black Sulphur Rd., just past intersection with Sugar Bottom Rd., Green Ridge State Forest",10,WGS 84,P.N. Hogan,Google Earth,Maryland Plecoptera Project,No Restrictions,,270,-78.49731,39.66615
9,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,P.N. Hogan,2020,3/11/2020,3,11,2020,vial,P.N. Hogan,PNH-049-20,stream,Preservedspecimen,9,2,0,0,11,"male, female",adult,USA,US,Maryland,Allegany,White Sulphur Run,"Fifteenmile Creek Rd., Green Ridge State Forest",10,WGS 84,P.N. Hogan,Google Earth,Maryland Plecoptera Project,No Restrictions,,215,-78.46404,39.65883
10,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,P.N. Hogan,2020,3/11/2020,3,11,2020,vial,P.N. Hogan,PNH-050-20,stream,Preservedspecimen,5,3,0,0,8,"male, female",adult,USA,US,Maryland,Allegany,Deep Run,"bridge over Deep Run on Fifteenmile Creek Rd., Green Ridge State Forest",10,WGS 84,P.N. Hogan,Google Earth,Maryland Plecoptera Project,No Restrictions,,222,-78.45232,39.65311
