"","var_a","var_b","var_c","new_var","charV"
"1",1,"A",0.595959827303886,0.749385396448464,"T"
"2",2,"B",0.764030402991921,1.18315973329561,"T"
"3",3,"C",0.750838615931571,-0.178747525030614,"T"
"4",4,"A",0.611587236402556,-0.215000470488748,"T"
"5",5,"B",0.120489559834823,-0.243196940712526,"T"
"6",6,"C",0.225422827992588,-0.569447034039561,"T"
"7",7,"A",0.623442576033995,0.651903468997942,"T"
"8",8,"B",0.154192762915045,1.12992742000535,"T"
"9",9,"C",0.917378932004794,-0.222533175496451,"T"
"10",10,"A",0.2615050165914,0.380855292851762,"T"
"11",11,"B",0.0885899567510933,0.866318159655985,"T"
"12",12,"C",0.978291410952806,1.17014732970779,"T"
"13",13,"D",0.77,0.00608307993601021,"T"
